LOCAL_REGNO	48	5	44	VALUE	majority	1	(REGNO) 0	(REGNO) 0
TARGET_DECLSPEC	48	2	47	VALUE	majority	1	0	0
HAVE_fmatf4	2	2	46	PRESENCE	majority	1	<undefined>	<undefined>
STACK_CHECK_FIXED_FRAME_SIZE	48	1	48	CONVERTED	majority	1	(targetm_cdata.stack_check_fixed_frame_size)	(targetm_cdata.stack_check_fixed_frame_size)
TARGET_SUPPORTS_WIDE_INT	48	2	11	VALUE	MINORITY	21	1	1
CFA_FRAME_BASE_OFFSET	48	2	47	VALUE	majority	1	(FNDECL) 0	(FNDECL) 0
CHAR8_TYPE	48	1	48	agree	majority	1	"unsigned char"	"unsigned char"
LONG_LONG_TYPE_SIZE	48	3	38	VALUE	majority	1	64	64
DWARF2_FRAME_REG_OUT	48	4	1	VALUE	MINORITY	1	(n,for_eh) (! (for_eh) || !dwarf_debuginfo_p () || TARGET_64BIT ? (n) : (n) == 5 ? 4 : (n) == 4 ? 5 : (n) >= 11 && (n) <= 18 ? (n) + 1 : (n))	(REGNO,FOR_EH) (REGNO)
DWARF_CIE_DATA_ALIGNMENT	48	1	48	CONVERTED	majority	1	(targetm_cdata.dwarf_cie_data_alignment)	(targetm_cdata.dwarf_cie_data_alignment)
HAVE_fmakf4	1	1	47	PRESENCE	majority	1	<undefined>	<undefined>
HAVE_adddf3	26	17	1	PRESENCE	MINORITY	2	((TARGET_80387 && X87_ENABLE_ARITH (DFmode)) || (SSE_FLOAT_MODE_P (DFmode) && TARGET_SSE_MATH))	(TARGET_FLOAT)
ASM_FINISH_DECLARE_OBJECT	42	4	6	PRESENCE	MINORITY	1	<undefined>	(FILE,DECL,TOP_LEVEL,AT_END) do { const char *name = XSTR (XEXP (DECL_RTL (DECL), 0), 0); HOST_WIDE_INT size; if (!flag_inhibit_size_directive && DECL_SIZE (DECL) && ! AT_END && TOP_LEVEL && DECL_INITIAL (DECL) == error_mark_node && !size_directive_output) { size_directive_output = 1; size = tree_to_uhwi (DECL_SIZE_UNIT (DECL)); ASM_OUTPUT_SIZE_DIRECTIVE (FILE, name, size); } } while (0)
INT32_TYPE	48	3	10	VALUE	MINORITY	1	"int"	(STDINT_LONG32 ? "long int" : INT_TYPE_SIZE == 32 ? "int" : SHORT_TYPE_SIZE == 32 ? "short int" : CHAR_TYPE_SIZE == 32 ? "signed char" : 0)
SWITCHABLE_TARGET	48	1	48	agree	majority	33	1	1
ASM_DECLARE_REGISTER_GLOBAL	2	2	46	PRESENCE	majority	1	<undefined>	<undefined>
LONG_ACCUM_TYPE_SIZE	48	2	45	VALUE	majority	1	(LONG_FRACT_TYPE_SIZE * 2)	(LONG_FRACT_TYPE_SIZE * 2)
RETURN_ADDRESS_POINTER_REGNUM	5	3	43	PRESENCE	majority	4	<undefined>	<undefined>
UINT_FAST32_TYPE	48	4	3	VALUE	MINORITY	1	"unsigned int"	(INT_TYPE_SIZE >= 32 ? "unsigned int" : UINT_LEAST32_TYPE)
DWARF_REG_TO_UNWIND_COLUMN	48	2	47	VALUE	majority	1	(REGNO) (REGNO)	(REGNO) (REGNO)
